행정기관명,동명,연령,성별구분,인구수
부산광역시 해운대구,중제2동,0세 - 9세,여,583
부산광역시 해운대구,중제2동,10세 - 19세,남,629
부산광역시 해운대구,중제2동,10세 - 19세,여,543
부산광역시 해운대구,중제2동,20세 - 29세,남,745
부산광역시 해운대구,중제2동,20세 - 29세,여,697
부산광역시 해운대구,중제2동,30세 - 39세,남,983
부산광역시 해운대구,중제2동,30세 - 39세,여,1013
부산광역시 해운대구,중제2동,40세 - 49세,남,1295
부산광역시 해운대구,중제2동,40세 - 49세,여,1336
부산광역시 해운대구,중제2동,50세 - 59세,남,1230
부산광역시 해운대구,중제2동,50세 - 59세,여,1392
부산광역시 해운대구,중제2동,60세 - 69세,남,1184
부산광역시 해운대구,중제2동,60세 - 69세,여,1444
부산광역시 해운대구,중제2동,70세 - 79세,남,520
부산광역시 해운대구,중제2동,70세 - 79세,여,669
부산광역시 해운대구,중제2동,80세 - 89세,남,176
부산광역시 해운대구,중제2동,80세 - 89세,여,291
부산광역시 해운대구,중제2동,90세 - 99세,남,18
부산광역시 해운대구,중제2동,90세 - 99세,여,54
부산광역시 해운대구,중제2동,100세 - 109세,남,0
부산광역시 해운대구,중제2동,100세 - 109세,여,3
부산광역시 해운대구,중제2동,110세 이상,남,0
부산광역시 해운대구,중제2동,110세 이상,여,0
부산광역시 해운대구,좌제1동,0세 - 9세,남,497
부산광역시 해운대구,좌제1동,0세 - 9세,여,485
부산광역시 해운대구,좌제1동,10세 - 19세,남,1016
부산광역시 해운대구,좌제1동,10세 - 19세,여,911
부산광역시 해운대구,좌제1동,20세 - 29세,남,1184
부산광역시 해운대구,좌제1동,20세 - 29세,여,1301
부산광역시 해운대구,좌제1동,30세 - 39세,남,952
부산광역시 해운대구,좌제1동,30세 - 39세,여,1057
부산광역시 해운대구,좌제1동,40세 - 49세,남,1219
부산광역시 해운대구,좌제1동,40세 - 49세,여,1648
부산광역시 해운대구,좌제1동,50세 - 59세,남,1547
부산광역시 해운대구,좌제1동,50세 - 59세,여,1695
부산광역시 해운대구,좌제1동,60세 - 69세,남,1060
부산광역시 해운대구,좌제1동,60세 - 69세,여,1115
부산광역시 해운대구,좌제1동,70세 - 79세,남,428
부산광역시 해운대구,좌제1동,70세 - 79세,여,643
부산광역시 해운대구,좌제1동,80세 - 89세,남,233
부산광역시 해운대구,좌제1동,80세 - 89세,여,475
부산광역시 해운대구,좌제1동,90세 - 99세,남,32
부산광역시 해운대구,좌제1동,90세 - 99세,여,58
부산광역시 해운대구,좌제1동,100세 - 109세,남,1
부산광역시 해운대구,좌제1동,100세 - 109세,여,2
부산광역시 해운대구,좌제1동,110세 이상,남,0
부산광역시 해운대구,좌제1동,110세 이상,여,0
부산광역시 해운대구,좌제2동,0세 - 9세,남,914
부산광역시 해운대구,좌제2동,0세 - 9세,여,860
부산광역시 해운대구,좌제2동,10세 - 19세,남,1325
부산광역시 해운대구,좌제2동,10세 - 19세,여,1291
부산광역시 해운대구,좌제2동,20세 - 29세,남,2074
부산광역시 해운대구,좌제2동,20세 - 29세,여,2332
부산광역시 해운대구,좌제2동,30세 - 39세,남,2127
부산광역시 해운대구,좌제2동,30세 - 39세,여,2269
부산광역시 해운대구,좌제2동,40세 - 49세,남,2061
부산광역시 해운대구,좌제2동,40세 - 49세,여,2526
부산광역시 해운대구,좌제2동,50세 - 59세,남,2433
부산광역시 해운대구,좌제2동,50세 - 59세,여,3119
부산광역시 해운대구,좌제2동,60세 - 69세,남,2097
부산광역시 해운대구,좌제2동,60세 - 69세,여,2312
부산광역시 해운대구,좌제2동,70세 - 79세,남,832
부산광역시 해운대구,좌제2동,70세 - 79세,여,1178
부산광역시 해운대구,좌제2동,80세 - 89세,남,417
부산광역시 해운대구,좌제2동,80세 - 89세,여,725
부산광역시 해운대구,좌제2동,90세 - 99세,남,48
부산광역시 해운대구,좌제2동,90세 - 99세,여,122
부산광역시 해운대구,좌제2동,100세 - 109세,남,2
부산광역시 해운대구,좌제2동,100세 - 109세,여,3
부산광역시 해운대구,좌제2동,110세 이상,남,0
부산광역시 해운대구,좌제2동,110세 이상,여,0
부산광역시 해운대구,좌제3동,0세 - 9세,남,484
부산광역시 해운대구,좌제3동,0세 - 9세,여,460
부산광역시 해운대구,좌제3동,10세 - 19세,남,821
부산광역시 해운대구,좌제3동,10세 - 19세,여,774
부산광역시 해운대구,좌제3동,20세 - 29세,남,923
부산광역시 해운대구,좌제3동,20세 - 29세,여,754
부산광역시 해운대구,좌제3동,30세 - 39세,남,771
부산광역시 해운대구,좌제3동,30세 - 39세,여,779
부산광역시 해운대구,좌제3동,40세 - 49세,남,993
부산광역시 해운대구,좌제3동,40세 - 49세,여,1249
부산광역시 해운대구,좌제3동,50세 - 59세,남,1297
부산광역시 해운대구,좌제3동,50세 - 59세,여,1550
부산광역시 해운대구,좌제3동,60세 - 69세,남,1140
부산광역시 해운대구,좌제3동,60세 - 69세,여,1320
부산광역시 해운대구,좌제3동,70세 - 79세,남,538
부산광역시 해운대구,좌제3동,70세 - 79세,여,739
부산광역시 해운대구,좌제3동,80세 - 89세,남,278
부산광역시 해운대구,좌제3동,80세 - 89세,여,524
부산광역시 해운대구,좌제3동,90세 - 99세,남,37
부산광역시 해운대구,좌제3동,90세 - 99세,여,98
부산광역시 해운대구,좌제3동,100세 - 109세,남,0
부산광역시 해운대구,좌제3동,100세 - 109세,여,2
부산광역시 해운대구,좌제3동,110세 이상,남,0
부산광역시 해운대구,좌제3동,110세 이상,여,0
부산광역시 해운대구,좌제4동,0세 - 9세,남,808
부산광역시 해운대구,좌제4동,0세 - 9세,여,717
부산광역시 해운대구,좌제4동,10세 - 19세,남,1388
부산광역시 해운대구,좌제4동,10세 - 19세,여,1359
부산광역시 해운대구,좌제4동,20세 - 29세,남,1353
부산광역시 해운대구,좌제4동,20세 - 29세,여,1227
부산광역시 해운대구,좌제4동,30세 - 39세,남,1129
부산광역시 해운대구,좌제4동,30세 - 39세,여,1243
부산광역시 해운대구,좌제4동,40세 - 49세,남,1576
부산광역시 해운대구,좌제4동,40세 - 49세,여,2007
부산광역시 해운대구,좌제4동,50세 - 59세,남,1986
부산광역시 해운대구,좌제4동,50세 - 59세,여,2278
부산광역시 해운대구,좌제4동,60세 - 69세,남,1458
부산광역시 해운대구,좌제4동,60세 - 69세,여,1543
부산광역시 해운대구,좌제4동,70세 - 79세,남,601
부산광역시 해운대구,좌제4동,70세 - 79세,여,833
부산광역시 해운대구,좌제4동,80세 - 89세,남,287
부산광역시 해운대구,좌제4동,80세 - 89세,여,514
부산광역시 해운대구,좌제4동,90세 - 99세,남,28
부산광역시 해운대구,좌제4동,90세 - 99세,여,77
부산광역시 해운대구,좌제4동,100세 - 109세,남,1
부산광역시 해운대구,좌제4동,100세 - 109세,여,6
부산광역시 해운대구,좌제4동,110세 이상,남,0
부산광역시 해운대구,좌제4동,110세 이상,여,0
부산광역시 해운대구,송정동,0세 - 9세,남,210
부산광역시 해운대구,송정동,0세 - 9세,여,184
